	ID	Year_Birth	Education	Marital_Status	Income	Kidhome	Teenhome	MntWines	MntFruits
51	4114	1964	Master	Married	79143.0	0	0	650	37
52	1331	1977	Graduation	Single	35790.0	1	0	12	6
53	2225	1977	Graduation	Divorced	82582.0	0	0	510	120
54	9381	1978	Graduation	Married	66373.0	1	1	328	9
55	6260	1955	Master	Together	82384.0	0	0	984	51
56	10383	1966	Graduation	Divorced	70287.0	0	0	295	35
57	7437	1988	Graduation	Single	27938.0	1	0	13	0
58	8557	1982	Graduation	Single		1	0	11	3
59	8375	1968	PhD	Married	55954.0	0	1	447	0
60	6853	1982	Master	Single	75777.0	0	0	712	26
61	3076	1975	Graduation	Together	66653.0	1	1	452	18
62	1012	1952	Graduation	Single	61823.0	0	1	523	7
63	6518	1951	PhD	Widow	67680.0	0	1	546	0
64	4137	1948	Graduation	Together	70666.0	0	0	398	40
65	8082	1971	Graduation	Married	25721.0	1	0	1	3
66	1386	1967	Graduation	Together	32474.0	1	1	10	0
67	9369	1979	2n Cycle	Single	88194.0	0	1	688	14
68	4477	1958	Graduation	Together	69096.0	0	1	247	49
69	1357	1970	Graduation	Together	74854.0	1	2	856	59
70	1402	1954	Master	Married	66991.0	0	0	496	36
71	10629	1973	2n Cycle	Married		1	0	25	3
72	6312	1959	Graduation	Married	65031.0	0	1	258	107
73	8132	1975	PhD	Married	60631.0	1	1	565	6
74	1050	1952	Graduation	Married	28332.0	0	0	14	10
75	5846	1977	Graduation	Divorced	40246.0	1	0	2	1
76	1859	1972	Master	Married	75251.0	0	0	721	111
77	7503	1976	Graduation	Single	75825.0	0	0	1032	105
78	10401	1976	2n Cycle	Together	26326.0	0	0	1	0
79	1618	1965	Graduation	Together	56046.0	0	0	577	0
80	3332	1985	Graduation	Single	29760.0	1	0	64	4
81	2261	1969	Graduation	Married	26304.0	1	0	4	1
82	5346	1973	2n Cycle	Married	23559.0	1	0	25	5
83	4119	1963	Master	Together	38620.0	0	0	112	17
84	535	1987	Graduation	Divorced	81361.0	0	0	163	23
85	5268	1960	Graduation	Married	29440.0	1	1	17	8
86	273	1970	Master	Married	36138.0	1	1	130	0
87	4452	1957	Graduation	Single	50388.0	0	1	292	6
88	8504	1973	Graduation	Married	79593.0	0	0	350	60
89	771	1967	Graduation	Together	54178.0	0	1	135	9
90	8996	1957	PhD	Married		2	1	230	42
91	9235	1957	Graduation	Single		1	1	7	0
92	5798	1973	Master	Together		0	0	445	37
93	11178	1972	Master	Single	42394.0	1	0	15	2
94	2230	1970	PhD	Married	23626.0	1	0	27	2
95	7516	1983	Graduation	Married	30096.0	1	0	5	3
96	7247	1960	Graduation	Widow	47916.0	0	1	505	0
97	11100	1972	Graduation	Divorced	51813.0	1	1	51	2
98	4646	1951	2n Cycle	Married	78497.0	0	0	207	26
99	3037	1983	PhD	Married	50150.0	0	0	135	46
100	1473	1960	2n Cycle	Single	47823.0	0	1	53	1
101	1016	1959	PhD	Single	34554.0	0	1	41	1
102	4518	1979	Graduation	Together	85693.0	0	1	386	172
103	9370	1945	PhD	Married	65846.0	0	0	562	81
104	8908	1959	Graduation	Married	87195.0	0	0	217	76
105	8373	1979	Basic	Together	24594.0	1	0	1	3
106	7533	1964	Graduation	Married	49096.0	1	1	144	1
107	2683	1969	Graduation	Married	52413.0	0	2	295	106
108	3629	1978	Graduation	Single	38557.0	1	0	76	3
109	10991	1960	Master	Married	89058.0	0	0	454	194
110	5077	1979	Graduation	Together	77298.0	0	1	425	115
111	7431	1991	PhD	Single	68126.0	0	0	1332	17
112	3267	1963	Master	Together	57288.0	0	1	527	0
113	999	1991	Graduation	Single	86037.0	0	0	490	44
114	9215	1980	PhD	Married	43974.0	1	0	378	0
115	2286	1962	Graduation	Single	50785.0	1	1	64	1
116	1592	1970	Graduation	Married	90765.0	0	0	547	99
117	367	1978	2n Cycle	Married	36550.0	1	0	47	90
118	5234	1967	2n Cycle	Together	30753.0	1	1	12	5
119	9862	1969	Graduation	Together	21918.0	1	0	1	6
120	9805	1953	Master	Together	56129.0	0	1	320	48
121	6205	1967	Master	Single	32557.0	1	0	34	3
122	8442	1985	Master	Married	19510.0	2	0	9	0
123	7386	1976	Graduation	Divorced	30992.0	1	0	17	0
124	7215	1983	Graduation	Single	101970.0	0	0	722	27
125	1491	1965	2n Cycle	Together	71488.0	0	0	162	33
126	11071	1984	Graduation	Single	79607.0	0	0	450	133
127	3381	1953	Master	Married	54348.0	1	1	70	0
128	8268	1961	PhD	Married		0	1	352	0
129	11051	1956	PhD	Together	77376.0	1	1	492	19
130	8026	1952	Graduation	Married	62998.0	0	1	120	58
131	433	1958	Master	Alone	61331.0	1	1	534	5
132	9597	1969	Graduation	Married	73448.0	0	0	236	106
133	1295	1963	Graduation	Married		0	1	231	65
134	5290	1964	PhD	Married	41551.0	1	1	220	0
135	1685	1967	PhD	Together	62981.0	0	0	796	14
136	5342	1976	Basic	Divorced	9548.0	1	0	0	1
137	9579	1959	PhD	Married	33762.0	2	1	53	1
138	7660	1973	PhD	Alone	35860.0	1	1	15	0
139	1461	1965	PhD	Divorced	36921.0	1	1	17	1
140	821	1992	Master	Single	92859.0	0	0	962	61
141	11084	1976	Master	Together	65104.0	0	1	738	0
142	8690	1962	Graduation	Married	86111.0	0	0	399	28
143	2937	1974	PhD	Single	68352.0	0	1	614	16
144	9701	1988	Graduation	Together	41883.0	1	0	32	34
145	9949	1976	Graduation	Married	59809.0	0	2	598	16
146	10837	1975	Graduation	Married	23957.0	1	0	2	1
147	3120	1981	Graduation	Together	38547.0	1	0	6	1
148	5885	1973	2n Cycle	Married	35688.0	2	1	73	3
149	4050	1966	Master	Married	49605.0	0	0	42	16
150	3830	1953	Master	Married	59354.0	0	2	295	21
151	7987	1969	Graduation	Married	65747.0	0	1	346	17
152	7798	1972	2n Cycle	Together	46344.0	0	1	233	20
153	92	1988	Graduation	Alone	34176.0	1	0	5	7
154	7055	1952	PhD	Together	61010.0	0	1	888	0
155	10240	1949	Graduation	Together	69372.0	0	0	997	26
156	3025	1958	Graduation	Single	49967.0	0	1	212	6
157	9283	1978	Graduation	Single	60199.0	1	2	8	1
158	9970	1977	Graduation	Together	55375.0	0	1	42	11
159	2730	1955	Graduation	Single	80317.0	0	0	536	11
160	2795	1958	Master	Single	30523.0	2	1	5	0
161	9260	1945	PhD	Married	70356.0	0	0	1349	16
162	8182	1984	Graduation	Married	23228.0	1	0	53	3
163	10095	1975	PhD	Divorced	74165.0	0	0	1001	12
164	8475	1973	PhD	Married	157243.0	0	1	20	2
165	4370	1966	Graduation	Together	43482.0	2	1	18	1
166	10573	1953	Graduation	Divorced	62551.0	0	0	125	16
167	3712	1959	Graduation	Divorced	52332.0	0	0	212	5
168	6637	1988	Graduation	Single	66951.0	0	0	277	162
169	3152	1957	Graduation	Together	26091.0	1	1	15	10
170	5610	1965	Graduation	Together	33456.0	1	1	7	3
171	6460	1982	Graduation	Married	28718.0	1	0	12	4
172	1349	1970	Graduation	Married	50447.0	2	0	85	7
173	1880	1959	PhD	Together	53537.0	1	1	81	0
174	641	1967	Graduation	Single	52074.0	0	1	59	0
175	8717	1975	PhD	Married	80427.0	0	1	1149	71
176	10314	1948	PhD	Married	83837.0	0	0	847	66
177	10854	1970	PhD	Married	38853.0	1	1	29	0
178	10492	1959	Graduation	Together	38285.0	2	1	2	0
179	6935	1951	2n Cycle	Married	78497.0	0	0	207	26
180	7698	1976	PhD	Married	51650.0	0	1	152	3
181	3559	1988	2n Cycle	Married	16248.0	1	0	12	11
182	10562	1946	Master	Married	66835.0	0	0	620	26
183	10796	1984	Master	Married	30477.0	1	0	47	1
184	2563	1961	Basic	Married	28249.0	0	0	1	9
185	3518	1983	Graduation	Married	25271.0	1	0	10	1
186	5823	1970	PhD	Single	32303.0	0	1	35	0
187	3934	1966	Graduation	Married	61286.0	0	1	356	0
188	6982	1976	Graduation	Married	74068.0	0	0	783	30
189	6431	1964	PhD	Married	45759.0	1	1	42	1
190	9733	1978	Basic	Together	24882.0	1	0	1	4
191	5602	1989	PhD	Together	66973.0	0	0	466	22
192	7829	1900	2n Cycle	Divorced	36640.0	1	0	15	6
193	1324	1988	Graduation	Married	38872.0	1	0	23	3
194	326	1973	Graduation	Married	51148.0	1	1	235	6
195	7224	1977	Graduation	Married	31353.0	1	1	10	0
196	6999	1980	Master	Married	69661.0	0	0	656	16
197	9938	1954	Graduation	Married	80067.0	0	0	519	17
198	6422	1954	Graduation	Married	86718.0	0	0	344	189
199	3182	1973	PhD	Single	46854.0	1	1	96	1
200	7300	1952	Graduation	Divorced	69142.0	0	1	448	4
201	10424	1968	Graduation	Single	75922.0	0	0	265	138
202	8727	1978	Graduation	Divorced	63693.0	0	1	587	43
203	2798	1977	PhD	Together	102160.0	0	0	763	29
204	1030	1965	PhD	Single	40637.0	1	1	22	0
205	624	1984	Master	Single	18890.0	0	0	6	4
206	5176	1988	Graduation	Together	29604.0	1	0	7	6
207	5552	1963	Master	Divorced	48721.0	1	1	81	18
208	868	1966	Graduation	Married	44794.0	0	1	54	0
209	380	1954	Graduation	Divorced	64497.0	0	1	1170	48
210	2677	1956	Graduation	Together	46097.0	0	1	72	24
211	6521	1954	Graduation	Together	77972.0	0	0	613	22
212	6927	1968	PhD	Married	44377.0	1	1	224	0
213	2877	1974	Master	Together	46014.0	1	1	410	0
214	0	1985	Graduation	Married	70951.0	0	0	239	10
215	1584	1977	Graduation	Married	41443.0	1	0	171	7
216	7264	1978	2n Cycle	Single	52195.0	2	1	12	0
217	6274	1948	Master	Married	83790.0	0	0	1076	16
218	1377	1954	Master	Widow	44551.0	0	1	182	4
219	454	1980	Graduation	Together	69508.0	1	0	824	32
220	1755	1988	2n Cycle	Together	45204.0	1	0	30	11
221	2075	1969	Graduation	Married	72460.0	0	0	377	10
222	4785	1970	PhD	Together	77622.0	0	2	520	7
223	9076	1980	PhD	Married	30732.0	1	0	155	1
224	7079	1962	Graduation	Divorced	63887.0	0	1	897	23
225	4653	1978	Graduation	Together	42011.0	1	0	131	0
226	7375	1976	Graduation	Together	51369.0	0	1	297	7
227	709	1952	Graduation	Divorced	51537.0	0	1	787	20
228	460	1972	PhD	Married	79930.0	0	0	792	86
229	3726	1986	PhD	Together	34320.0	1	0	4	1
230	6798	1966	Graduation	Single	37070.0	1	1	231	7
231	5341	1962	2n Cycle	Divorced	81975.0	0	1	983	76
232	1606	1971	Graduation	Together	38590.0	1	0	3	1
233	9617	1951	Graduation	Single	15033.0	0	0	0	4
234	3233	1965	PhD	Married	62745.0	0	1	562	21
235	89	1975	2n Cycle	Married	22212.0	1	0	5	9
236	2936	1982	Master	Together	23661.0	1	0	18	0
237	9449	1958	PhD	Single	79761.0	0	1	415	5
238	7297	1973	Graduation	Single	7500.0	1	0	5	3
239	11004	1893	2n Cycle	Single	60182.0	0	1	8	0
240	313	1968	Graduation	Widow	73455.0	0	0	901	61
241	9940	1958	Graduation	Together	64961.0	0	1	382	114
242	10735	1971	Graduation	Single	22804.0	1	0	14	1
243	9529	1990	Graduation	Married	73687.0	0	0	559	153
244	6439	1958	Graduation	Married	61074.0	0	1	789	0
245	7411	1964	PhD	Married	31686.0	1	1	11	0
246	2176	1972	Graduation	Married	80134.0	1	0	1218	16
247	9265	1953	Graduation	Married	75027.0	0	1	925	64
248	8867	1988	PhD	Married	67546.0	0	0	864	134
249	8932	1969	Master	Together	65176.0	0	1	960	28
250	10236	1975	Master	Single	31160.0	1	0	16	3
251	6340	1985	Graduation	Single	29938.0	1	0	3	3
252	10089	1974	Graduation	Divorced	102692.0	0	0	168	148
253	2227	1958	2n Cycle	Together	26490.0	0	0	45	47
254	10992	1967	Graduation	Together	75702.0	1	1	650	28
255	5304	1974	PhD	Single	30899.0	1	0	24	0
256	309	1961	PhD	Together	63342.0	0	1	918	21
257	3406	1964	Graduation	Single	45989.0	0	1	138	33
258	2661	1964	Graduation	Single	18701.0	1	1	12	4
259	3153	1957	PhD	Single	40737.0	2	1	11	0
260	10264	1979	Graduation	Divorced	15287.0	1	0	1	2
261	1184	1968	PhD	Divorced	69674.0	0	2	554	41
262	4200	1970	Master	Married	44159.0	1	0	167	2
263	9396	1978	PhD	Married	37717.0	1	0	9	0
264	2387	1952	Master	Together	43776.0	1	1	177	2
265	6690	1966	Master	Married	38179.0	1	1	38	4
266	1225	1963	Graduation	Married	80124.0	0	0	483	84
267	9703	1970	PhD	Married	38097.0	1	1	77	2
268	291	1970	Graduation	Married	72940.0	0	0	182	74
269	4557	1970	Graduation	Together	22070.0	1	0	10	7
270	2379	1953	Graduation	Single	69267.0	0	0	778	44
271	5726	1983	Master	Single	31788.0	1	0	16	7
272	3066	1975	PhD	Together	61905.0	0	1	167	0
273	6336	1960	Graduation	Married	29315.0	1	1	13	2
274	10967	1963	Graduation	Divorced	33378.0	1	1	33	6
275	2304	1963	PhD	Together	66313.0	0	1	625	7
276	3445	1956	Graduation	Single	60714.0	0	0	216	162
277	7828	1981	Master	Together	77882.0	0	0	68	129
278	3762	1986	PhD	Single	69867.0	0	0	196	0
279	4391	1968	Master	Divorced	63841.0	0	1	635	15
280	4669	1981	Basic	Married	24480.0	1	0	4	19
281	10144	1976	Graduation	Together	51369.0	0	1	297	7
282	8652	1946	Graduation	Together	37760.0	0	0	84	5
283	1672	1974	PhD	Together	65640.0	0	1	204	7
284	8962	1975	Master	Married	44319.0	1	1	26	0
285	9974	1974	Graduation	Married	30631.0	1	0	15	6
286	10983	1952	Graduation	Together	75278.0	0	0	304	98
287	8148	1956	Master	Together	50898.0	1	1	285	28
288	10102	1966	Graduation	Widow	79946.0	0	0	395	183
289	4697	1949	Master	Divorced	35416.0	0	0	248	3
290	9262	1984	2n Cycle	Together	32414.0	0	0	20	6
291	7254	1969	Graduation	Together	38361.0	1	0	39	0
292	4543	1980	Graduation	Married	82497.0	0	0	777	129
293	4927	1971	Graduation	Together	16626.0	2	0	8	3
294	10451	1965	Graduation	Together	29672.0	1	1	9	1
295	2926	1952	Master	Together	55951.0	0	1	1241	0
296	2874	1988	2n Cycle	Divorced	35388.0	1	0	6	4
297	9738	1986	Master	Together	42386.0	1	0	65	4
298	7119	1982	Graduation	Single	68627.0	0	0	395	15
299	3924	1965	PhD	Divorced	57912.0	0	1	801	0
300	5827	1958	Graduation	Divorced	35246.0	1	1	36	0
301	5596	1956	2n Cycle	Together	58821.0	0	1	513	14
302	10812	1978	PhD	Married	46377.0	1	0	37	0
303	1717	1988	Graduation	Single	39747.0	1	0	80	15
304	9491	1984	Graduation	Together	23976.0	1	0	14	1
305	9274	1961	Master	Married	80950.0	0	0	525	147
306	6609	1966	Graduation	Widow	27038.0	0	0	1	26
307	6963	1947	Graduation	Single	77457.0	0	0	675	11
308	4440	1964	Master	Married	64100.0	0	1	509	0
309	1379	1992	Master	Together	42670.0	0	0	154	2
310	10032	1976	Graduation	Divorced	12571.0	1	0	3	5
311	2826	1967	Graduation	Married	22574.0	2	1	25	0
312	2437	1989	Graduation	Married		0	0	861	138
313	6320	1976	Master	Single	70893.0	0	0	768	44
314	3050	1966	Graduation	Married	54198.0	1	1	185	0
315	231	1956	Master	Together	28839.0	1	1	24	0
316	2392	1972	Graduation	Married	40321.0	1	1	44	4
317	9478	1985	Graduation	Single	66503.0	1	0	91	64
318	113	1951	Graduation	Married	30833.0	1	1	11	0
319	2863	1970	Graduation	Single		1	2	738	20
320	1802	1971	Graduation	Married	64795.0	0	1	412	5
321	520	1974	Graduation	Married	34421.0	1	0	3	3
322	8275	1965	PhD	Divorced	47025.0	1	1	16	0
323	9750	1961	PhD	Divorced	64325.0	0	1	731	60
324	2607	1953	Graduation	Single	40464.0	0	1	424	17
325	7214	1957	Graduation	Married	62187.0	0	0	792	0
326	5835	1976	PhD	Divorced	14849.0	1	0	21	2
327	3896	1984	Graduation	Married	27255.0	1	0	22	1
328	10350	1950	PhD	Married	54432.0	2	1	33	0
329	7786	1986	PhD	Single	29999.0	1	0	68	7
330	2861	1983	Graduation	Single	24072.0	1	0	9	1
331	663	1989	PhD	Single	33996.0	0	0	40	2
332	10675	1956	PhD	Married	66334.0	0	1	909	11
333	2521	1971	Master	Married	35178.0	1	0	23	1
334	9592	1983	Graduation	Together	22010.0	1	0	11	2
335	10151	1960	Graduation	Divorced	62204.0	0	2	317	46
336	7381	1968	Graduation	Divorced	75693.0	0	0	797	153
337	4099	1972	Graduation	Married	30675.0	1	0	10	2
338	9560	1965	Graduation	Together	83003.0	0	0	856	61
339	1150	1899	PhD	Together	83532.0	0	0	755	144
340	10172	1988	Graduation	Single	68655.0	0	0	456	19
341	11191	1986	Graduation	Divorced	41411.0	0	0	37	32
342	9707	1969	PhD	Married	55212.0	0	1	1103	0
343	6245	1950	PhD	Together	59292.0	0	1	378	14
344	8234	1973	Basic	Together	27190.0	1	0	1	6
345	1411	1952	Graduation	Divorced	82623.0	0	0	204	34
346	8553	1965	Graduation	Married	44300.0	1	1	30	0
347	1826	1970	Graduation	Divorced	84835.0	0	0	189	104
348	8842	1971	Graduation	Widow	30372.0	1	1	15	0
349	11030	1976	Master	Married	33181.0	1	0	9	0
350	2579	1957	Graduation	Married	71113.0	0	1	495	33
351	175	1986	Graduation	Married	71952.0	1	0	656	80
352	9185	1966	PhD	Single	69759.0	0	0	452	20
353	11056	1974	Graduation	Married	72099.0	0	0	546	91
354	9365	1976	PhD	Single	60000.0	0	1	1048	0
355	6201	1978	Graduation	Single	38643.0	1	1	22	2
356	2061	1955	Graduation	Married	50737.0	0	1	78	0
357	6184	1969	PhD	Married	68462.0	0	0	561	64
358	6142	1943	Master	Married	65073.0	0	0	629	17
359	4107	1948	PhD	Together	46681.0	0	2	269	15
360	7274	1957	Graduation	Married	78618.0	0	0	736	163
361	9336	1969	PhD	Widow	62187.0	0	1	512	0
362	2958	1978	Graduation	Married	28442.0	2	0	19	3
363	933	1978	PhD	Married	37717.0	1	0	9	0
364	5837	1967	Graduation	Married	51479.0	1	1	247	8
365	10704	1969	Graduation	Single	54803.0	0	1	404	0
366	5125	1960	Graduation	Married	79530.0	0	0	333	0
367	4432	1976	Graduation	Divorced	31615.0	1	0	2	3
368	5955	1962	Graduation	Together	72025.0	0	0	833	33
369	2928	1975	PhD	Single	52614.0	0	1	789	0
370	5680	1984	2n Cycle	Married	35684.0	1	0	10	4
371	10313	1975	Graduation	Married	48178.0	1	1	159	4
372	2557	1970	Master	Single	29548.0	1	0	7	1
373	1245	1966	Graduation	Single	63810.0	0	1	977	12
374	1519	1972	PhD	Single	38578.0	1	1	38	4
375	10703	1975	Master	Single	46098.0	1	1	57	0
376	1726	1970	Graduation	Single	22585.0	0	0	3	9
377	4459	1989	Graduation	Single	30279.0	1	0	10	4
378	1729	1961	PhD	Together	66426.0	0	1	1043	24
379	1517	1969	Graduation	Single	30822.0	1	0	3	9
380	2098	1969	PhD	Married	33581.0	2	0	11	0
381	9543	1985	Graduation	Married	19986.0	1	0	3	6
382	6878	1954	Graduation	Widow	27421.0	0	0	43	12
383	3310	1973	2n Cycle	Married	35688.0	2	1	73	3
384	2724	1981	Master	Single	36143.0	1	0	12	0
385	948	1971	Graduation	Single	10245.0	1	0	4	7
386	6720	1968	Master	Together	43795.0	0	1	314	11
387	6202	1960	Graduation	Together	63381.0	0	1	571	50
388	2066	1949	Graduation	Together	38823.0	0	1	70	0
389	9799	1968	PhD	Divorced	83664.0	1	1	866	21
390	8318	1979	Graduation	Together	90300.0	0	0	594	134
391	5642	1979	Master	Together	62499.0	1	0	140	4
392	2669	1993	Graduation	Single	74293.0	0	0	375	152
393	455	1946	PhD	Married	51012.0	0	0	102	9
394	7683	1968	Master	Married	70777.0	0	1	554	35
395	3428	1991	PhD	Together	68682.0	0	0	919	0
396	7414	1971	Graduation	Married	43824.0	1	1	96	1
397	6354	1984	Graduation	Together	15345.0	1	0	5	2
398	798	1987	Graduation	Single	23442.0	1	0	2	0
399	8213	1980	2n Cycle	Together	14515.0	1	0	6	4
400	2488	1956	2n Cycle	Divorced	31395.0	1	1	23	1
401	9999	1965	Graduation	Together	75276.0	0	0	610	105
402	7617	1974	Graduation	Single	42373.0	1	1	67	5
403	615	1960	Graduation	Together	30507.0	0	0	65	36
404	2552	1955	PhD	Single	55521.0	1	2	416	0
405	194	1965	Graduation	Married	48006.0	1	1	23	0
406	3645	1972	PhD	Single	27213.0	1	0	19	3
407	8890	1971	PhD	Divorced	65808.0	1	1	155	7
408	5049	1974	PhD	Together	30351.0	1	0	14	0
409	9973	1963	Graduation	Married	50437.0	0	2	370	9
410	7301	1982	2n Cycle	Single	23616.0	1	0	4	22
411	10882	1976	Graduation	Married	53858.0	0	1	407	53
412	7030	1955	PhD	Married	66465.0	0	1	1200	0
413	7422	1987	Graduation	Single	46923.0	1	0	85	44
414	3523	1962	Graduation	Together	75072.0	0	1	583	34
415	7106	1943	PhD	Married	75865.0	0	0	483	0
416	6504	1975	2n Cycle	Together	19789.0	1	0	2	5
417	5067	1994	Graduation	Together	80134.0	0	0	966	26
418	4216	1981	Graduation	Single	91065.0	0	0	822	114
419	8581	1971	Master	Married	49505.0	1	1	604	0
420	5929	1973	PhD	Married	37401.0	1	0	19	3
421	3129	1983	Graduation	Married	30096.0	1	0	5	3
422	6528	1982	Master	Together	18492.0	1	0	2	2
423	1361	1974	Master	Married	82584.0	0	0	1076	68
424	6932	1941	PhD	Married	93027.0	0	0	1285	42
425	7284	1953	Graduation	Married	48686.0	1	2	10	0
426	1340	1986	Graduation	Married	92910.0	0	0	551	137
427	8746	1989	Graduation	Married	75433.0	1	0	800	0
428	5987	1989	2n Cycle	Together	10404.0	1	0	2	2
429	3767	1968	Graduation	Married	61314.0	0	1	378	0
430	3725	1961	PhD	Single	84865.0	0	0	1248	16
431	4324	1989	Graduation	Married	42387.0	1	0	235	0
432	238	1967	2n Cycle	Together	67309.0	1	1	515	47
433	6694	1964	Graduation	Married	75236.0	0	1	438	66
434	498	1970	Graduation	Single	30015.0	1	0	25	0
435	9347	1956	Master	Together	50943.0	0	1	31	0
436	9699	1966	Graduation	Divorced	67272.0	0	1	357	35
437	10664	1949	Master	Widow	51529.0	0	1	400	4
438	5455	1971	PhD	Married	32011.0	1	0	99	0
439	456	1986	2n Cycle	Married	7500.0	1	0	1	11
440	5012	1989	Graduation	Married	28691.0	1	0	5	4
441	7495	1948	PhD	Married	56223.0	0	1	77	28
442	5029	1946	Graduation	Married	18100.0	0	0	3	1
443	10642	1989	Graduation	Single	30279.0	1	0	10	4
444	2106	1974	2n Cycle	Married	20130.0	0	0	0	6
445	10364	1959	Graduation	Divorced	23295.0	0	0	0	0
446	5954	1972	Master	Divorced	42618.0	1	0	76	14
447	1137	1964	Graduation	Single	81246.0	0	0	398	190
448	2541	1976	Graduation	Married	24027.0	1	0	14	7
449	1142	1953	PhD	Married	55707.0	0	1	208	7
450	2276	1955	Graduation	Single	57959.0	0	1	430	16
451	2807	1969	Graduation	Married	56796.0	0	1	656	38
452	6471	1971	Master	Single	36230.0	1	0	14	2
453	6131	1980	2n Cycle	Married	70829.0	1	1	141	70
454	6233	1976	Graduation	Married	65991.0	0	1	507	19
455	4148	1972	Graduation	Married	38988.0	1	2	164	24
456	4947	1966	2n Cycle	Single	89572.0	0	0	606	24
457	3225	1984	Master	Married	42207.0	1	0	116	11
458	7540	1952	Graduation	Married	50300.0	0	1	143	15
459	10648	1982	2n Cycle	Together	66664.0	0	0	398	96
460	1992	1964	Graduation	Married	60597.0	0	1	522	0
461	7851	1949	Graduation	Widow	70165.0	0	0	161	0
462	8594	1958	PhD	Widow	50520.0	0	1	112	0
463	7059	1963	Graduation	Married	80124.0	0	0	483	84
464	2815	1975	Graduation	Married	33183.0	1	0	7	5
465	2416	1969	PhD	Single	66582.0	0	0	789	25
466	7999	1955	PhD	Together	75261.0	0	0	1239	17
467	9213	1970	Graduation	Widow	31880.0	1	0	4	1
468	9697	1951	Graduation	Married	53790.0	0	2	335	42
469	3916	1971	PhD	Together	49269.0	1	0	639	8
470	2021	1975	Graduation	Married	61456.0	0	1	563	76
471	1581	1980	Graduation	Married	37406.0	1	0	2	0
472	564	1981	PhD	Together	56937.0	1	0	746	8
473	6619	1978	Graduation	Married	38415.0	1	1	22	1
474	9081	1988	Graduation	Single	20518.0	1	0	4	1
475	178	1956	Graduation	Married	62503.0	0	1	478	0
476	916	1972	PhD	Single	41644.0	1	1	20	3
477	5512	1977	Master	Married	55842.0	0	1	451	0
478	8970	1972	PhD	Married	62010.0	0	1	371	22
479	10581	1977	Graduation	Married	41124.0	1	0	281	7
480	5300	1973	Master	Married	38961.0	1	0	19	7
481	5154	1972	Master	Divorced	37760.0	1	0	26	3
482	8346	1974	Graduation	Single	32233.0	1	0	138	15
483	1676	1975	Graduation	Married	43057.0	0	1	213	2
484	9286	1960	Master	Together	83151.0	0	0	407	28
